"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"hamtaickeaktuellaordinationer","hamtaickeaktuellaordinationer","","","",0,*,"","","","null {[]} {[]}
","HamtaIckeAktuellaOrdinationer — Response","Logisk modell för svaret i HamtaIckeAktuellaOrdinationer
(urn:riv:se.apotekensservice:or:HamtaIckeAktuellaOrdinationerResponder:6, HamtaIckeAktuellaOrdinationerResponseType).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"hamtaickeaktuellaordinationer.artikelLista.forskrivningsrattsyrken.yrkesKod","hamtaickeaktuellaordinationer.artikelLista.forskrivningsrattsyrken.yrkesKod","","","",1,1,"","","","string {[]} {[]}
","yrkesKod","Yrkeskod för utfärdarkategori.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.forskrivningsrattsyrken.yrkesKod",1,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.forskrivningsrattsyrken.yrkesKodKlartext","hamtaickeaktuellaordinationer.artikelLista.forskrivningsrattsyrken.yrkesKodKlartext","","","",1,1,"","","","string {[]} {[]}
","yrkesKodKlartext","Yrkeskod för utfärdarkategori, klartext.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.forskrivningsrattsyrken.yrkesKodKlartext",1,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.historiskaVarunummer","hamtaickeaktuellaordinationer.artikelLista.historiskaVarunummer","","","",0,*,"","","","string {[]} {[]}
","historiskaVarunummer","Lista över eventuella tidigare varunummer. Används om en artikel har fått nytt varunummer.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.historiskaVarunummer",0,*,"",""
"hamtaickeaktuellaordinationer.artikelLista.intressent","hamtaickeaktuellaordinationer.artikelLista.intressent","","","",0,1,"","","","string {[]} {[]}
","intressent","Intressent (företag) som är ansvarig för artikeln.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.intressent",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.lakemedel","hamtaickeaktuellaordinationer.artikelLista.lakemedel","","","",0,1,"","","","boolean {[]} {[]}
","lakemedel","Markering som visar om en artikel är ett läkemedel.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.lakemedel",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.narkotikaklass","hamtaickeaktuellaordinationer.artikelLista.narkotikaklass","","","",0,1,"","","","string {[]} {[]}
","narkotikaklass","Koden för narkotikaklass enligt Läkemedelsverkets förteckning: - = Ospecificerad 0 = Ej narkotikaklassad 1 = II 2 = Narkotika förteckning IV/V 3 = III 4 = IV 5 = V 6 = I","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.narkotikaklass",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.narkotikaklassKlartext","hamtaickeaktuellaordinationer.artikelLista.narkotikaklassKlartext","","","",0,1,"","","","string {[]} {[]}
","narkotikaklassKlartext","Narkotikaklass i klartext enligt Läkemedelsverket förteckning. Klartext enligt lexikontabell för narkotikaklass. Språk anges på svenska (sv).","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.narkotikaklassKlartext",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.nplId","hamtaickeaktuellaordinationer.artikelLista.nplId","","","",0,1,"","","","string {[]} {[]}
","nplId","Produktid, antingen NPL-id eller SB-id. Unikt id för en läkemedelsprodukt. Alla förpackningar med samma styrka/form/tillverkare grupperas i samma produktid.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.nplId",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.nplPackageId","hamtaickeaktuellaordinationer.artikelLista.nplPackageId","","","",0,1,"","","","string {[]} {[]}
","nplPackageId","Förpackningsid, antingen NPL-packid eller SB-packid. Unikt id för en läkemedelsartikel.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.nplPackageId",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.prisperiodensvara","hamtaickeaktuellaordinationer.artikelLista.prisperiodensvara","","","",0,1,"","","","boolean {[]} {[]}
","prisperiodensvara","Markering som anger om artikeln är definierad som prisperiodens vara.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.prisperiodensvara",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.produkttyp","hamtaickeaktuellaordinationer.artikelLista.produkttyp","","","",0,1,"","","","string {[]} {[]}
","produkttyp","Artikelns produkttyp som kod.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.produkttyp",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.produkttypKlartext","hamtaickeaktuellaordinationer.artikelLista.produkttypKlartext","","","",0,1,"","","","string {[]} {[]}
","produkttypKlartext","Artikelns produkttyp som klartext enligt lexikontabell för produkttyp. Språk anges på svenska (sv).","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.produkttypKlartext",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.registrerad","hamtaickeaktuellaordinationer.artikelLista.registrerad","","","",1,1,"","","","boolean {[]} {[]}
","registrerad","Anger om artikeln finns registrerad i VARA.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.registrerad",1,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.sarskiltLakemedelKod","hamtaickeaktuellaordinationer.artikelLista.sarskiltLakemedelKod","","","",0,1,"","","","string {[]} {[]}
","sarskiltLakemedelKod","Kod som anger om särskild receptblankett krävs och om recept får itereras. 1 = Särskilt receptblankett krävs INTE. 2 = Särskild receptblankett krävs. Recepten får itereras. 3 = Särskild receptblankett krävs. Recepten får EJ itereras. 4 = Särskild receptblankett krävs. Recept för humant bruk får itereras. - = Ospecifierat","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.sarskiltLakemedelKod",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.tillhandahalls","hamtaickeaktuellaordinationer.artikelLista.tillhandahalls","","","",0,1,"","","","boolean {[]} {[]}
","tillhandahalls","Markering som visar om artikeln marknadsförs på den svenska marknaden. Sant om både artikeln och produkten tillhandahålls.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.tillhandahalls",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.utbytbar","hamtaickeaktuellaordinationer.artikelLista.utbytbar","","","",0,1,"","","","boolean {[]} {[]}
","utbytbar","Markering som anger om artikeln är utbytbar enligt VARA.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.utbytbar",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.varunummer","hamtaickeaktuellaordinationer.artikelLista.varunummer","","","",0,1,"","","","string {[]} {[]}
","varunummer","Nordiskt varunummer som är unikt för handelsvaror. För läkemedel kan dubbletter förekomma vid parallellimport.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.varunummer",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.artikelExtension","hamtaickeaktuellaordinationer.artikelLista.artikelExtension","","","",0,1,"","","","BackboneElement {[]} {[]}
","artikelExtension","artikelExtension Heter extension i schemat.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.artikelExtension",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaickeaktuellaordinationer.artikelLista.artikelExtension.id","hamtaickeaktuellaordinationer.artikelLista.artikelExtension.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.artikelExtension.extension","hamtaickeaktuellaordinationer.artikelLista.artikelExtension.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.artikelLista.artikelExtension.modifierExtension","hamtaickeaktuellaordinationer.artikelLista.artikelExtension.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaickeaktuellaordinationer.artikelLista.artikelExtension.utlamnandebegransningKod","hamtaickeaktuellaordinationer.artikelLista.artikelExtension.utlamnandebegransningKod","","","",0,1,"","","","string {[]} {[]}
","utlamnandebegransningKod","Kod som anger om produkten får utlämnas från apotek endast om den har förskrivits av en läkare med viss specialistkompetens.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.artikelExtension.utlamnandebegransningKod",0,1,"",""
"hamtaickeaktuellaordinationer.artikelLista.artikelExtension.utlamnandebegransningKlartext","hamtaickeaktuellaordinationer.artikelLista.artikelExtension.utlamnandebegransningKlartext","","","",0,1,"","","","string {[]} {[]}
","utlamnandebegransningKlartext","Anger om produkten får utlämnas från apotek endast om den har förskrivits av en läkare med viss specialistkompetens.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.artikelLista.artikelExtension.utlamnandebegransningKlartext",0,1,"",""
"hamtaickeaktuellaordinationer.forskrivarInfoLista","hamtaickeaktuellaordinationer.forskrivarInfoLista","","","",0,*,"","","","BackboneElement {[]} {[]}
","forskrivarInfoLista","Lista med förskrivare som gjort förändringar i ordinationerna.","","","","","","","","","",,,,,"",,,,"hamtaickeaktuellaordinationer.forskrivarInfoLista",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaickeaktuellaordinationer.forskrivarInfoLista.id","hamtaickeaktuellaordinationer.forskrivarInfoLista.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaickeaktuellaordinationer.forskrivarInfoLista.extension","hamtaickeaktuellaordinationer.forskrivarInfoLista.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
