"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"hamtaaktuellaordinationer","hamtaaktuellaordinationer","","","",0,*,"","","","null {[]} {[]}
","HamtaAktuellaOrdinationer — Response","Logisk modell för svaret i HamtaAktuellaOrdinationer
(urn:riv:se.apotekensservice:or:HamtaAktuellaOrdinationerResponder:5, HamtaAktuellaOrdinationerResponseType).","","","","","","","","","",,,,,"",,,,"Base",0,*,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.fodelsedatum.extension","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.fodelsedatum.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.fodelsedatum.modifierExtension","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.fodelsedatum.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.fodelsedatum.fodelsedatum","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.fodelsedatum.fodelsedatum","","","",1,1,"","","","dateTime {[]} {[]}
","fodelsedatum","Födelsedatum för patient som saknar giltigt personnummer.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.fodelsedatum.fodelsedatum",1,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.fodelsedatum.kon","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.fodelsedatum.kon","","","",1,1,"","","","integer {[]} {[]}
","kon","Patientens kön. Giltiga värden är: 1 = Man 2 = Kvinna 3 = Ej specificerat","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.fodelsedatum.kon",1,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.fornamn","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.fornamn","","","",1,1,"","","","string {[]} {[]}
","fornamn","Patientens förnamn. Hämtas från andra delen (efter kommatecken) av patientens Rednamn som fås vid anrop mot FOLK.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.fornamn",1,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.kontaktuppgift","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.kontaktuppgift","","","",0,1,"","","","BackboneElement {[]} {[]}
","kontaktuppgift","Kontaktuppgifter för patienten.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.kontaktuppgift",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.kontaktuppgift.id","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.kontaktuppgift.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.kontaktuppgift.extension","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.kontaktuppgift.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.kontaktuppgift.modifierExtension","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.kontaktuppgift.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.kontaktuppgift.adress1","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.kontaktuppgift.adress1","","","",0,1,"","","","string {[]} {[]}
","adress1","Förskrivarens lokalitet eller patientens adress 1. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.kontaktuppgift.adress1",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.kontaktuppgift.adress2","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.kontaktuppgift.adress2","","","",0,1,"","","","string {[]} {[]}
","adress2","Patientens adress 2 eller förskrivarens alternativt vårdcentralens gatuadress. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.kontaktuppgift.adress2",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.kontaktuppgift.postnummer","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.kontaktuppgift.postnummer","","","",0,1,"","","","string {[]} {[]}
","postnummer","Patientens eller förskrivarens postnummer. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.kontaktuppgift.postnummer",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.kontaktuppgift.postort","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.kontaktuppgift.postort","","","",0,1,"","","","string {[]} {[]}
","postort","Patientens eller förskrivarens postort. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.kontaktuppgift.postort",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.kontaktuppgift.telefonnummer1","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.kontaktuppgift.telefonnummer1","","","",0,1,"","","","string {[]} {[]}
","telefonnummer1","Patientens eller förskrivarens telefonnummer 1. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.kontaktuppgift.telefonnummer1",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.kontaktuppgift.telefonnummer2","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.kontaktuppgift.telefonnummer2","","","",0,1,"","","","string {[]} {[]}
","telefonnummer2","Patientens eller förskrivarens telefonnummer 2.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.kontaktuppgift.telefonnummer2",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.personnummer","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.personnummer","","","",0,1,"","","","string {[]} {[]}
","personnummer","Giltigt personnummer.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.patient.personnummer",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.registrerandeApotekspersonal","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.registrerandeApotekspersonal","","","",0,1,"","","","BackboneElement {[]} {[]}
","registrerandeApotekspersonal","Den som registrerat ordinationen.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.registrerandeApotekspersonal",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.registrerandeApotekspersonal.id","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.registrerandeApotekspersonal.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.registrerandeApotekspersonal.extension","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.registrerandeApotekspersonal.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.registrerandeApotekspersonal.modifierExtension","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.registrerandeApotekspersonal.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.registrerandeApotekspersonal.apoteksId","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.registrerandeApotekspersonal.apoteksId","","","",1,1,"","","","string {[]} {[]}
","apoteksId","Apoteks-id är en unik kod som definierar ett specifikt apotek tillhörande en specifik juridisk ägare.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.registrerandeApotekspersonal.apoteksId",1,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.registrerandeApotekspersonal.befattningskod","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.registrerandeApotekspersonal.befattningskod","","","",0,1,"","","","string {[]} {[]}
","befattningskod","Användarens befattningskod enligt HSA.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.registrerandeApotekspersonal.befattningskod",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.registrerandeApotekspersonal.efternamn","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.registrerandeApotekspersonal.efternamn","","","",0,1,"","","","string {[]} {[]}
","efternamn","Användarens efternamn. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.registrerandeApotekspersonal.efternamn",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.registrerandeApotekspersonal.fornamn","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.registrerandeApotekspersonal.fornamn","","","",0,1,"","","","string {[]} {[]}
","fornamn","Användarens förnamn. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.registrerandeApotekspersonal.fornamn",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.registrerandeApotekspersonal.legitimationskod","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.registrerandeApotekspersonal.legitimationskod","","","",0,1,"","","","string {[]} {[]}
","legitimationskod","Förskrivares 7-ställiga förskrivarkod alternativt legitimerad användares 6-ställiga legitimationskod enligt Socialstyrelsen. Obligatorisk för gruppförskrivare (ej läkare) och för farmaceuter.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.registrerandeApotekspersonal.legitimationskod",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.registrerandeApotekspersonal.yrkeskod","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.registrerandeApotekspersonal.yrkeskod","","","",0,1,"","","","string {[]} {[]}
","yrkeskod","Användarens yrkeskod som definierar vilken typ av legitimation som användaren innehar. Obligatorisk för förskrivare.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.registrerandeApotekspersonal.yrkeskod",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.testindikator","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.testindikator","","","",1,1,"","","","integer {[]} {[]}
","testindikator","Markering om ordinationen är äkta, för test eller för utbildning. 1 = Äkta 2 = Test 3 = Utbildning","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsinformation.testindikator",1,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsstatus","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsstatus","","","",1,1,"","","","BackboneElement {[]} {[]}
","ordinationsstatus","ordinationsstatus","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsstatus",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsstatus.id","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsstatus.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsstatus.extension","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsstatus.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsstatus.modifierExtension","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsstatus.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsstatus.radversion","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsstatus.radversion","","","",1,1,"","","","string {[]} {[]}
","radversion","Ordinationens versionsnummer för intern versionshantering av en ordination. Ny radversion av ordinationen skapas vid varje uttag. Returneras alltid men kan vara utan värde.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsstatus.radversion",1,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsstatus.ordinationsstatusStatus","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsstatus.ordinationsstatusStatus","","","",1,1,"","","","integer {[]} {[]}
","ordinationsstatusStatus","Status för dosunderlag, ordination eller uttag. Heter status i schemat.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsstatus.ordinationsstatusStatus",1,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsstatus.tidpunkt","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsstatus.tidpunkt","","","",1,1,"","","","dateTime {[]} {[]}
","tidpunkt","Datum och tid då dosunderlag, ordination eller uttag senast förändrades.","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationsstatus.tidpunkt",1,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationstyp","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationstyp","","","",0,1,"","","","string {[]} {[]}
","ordinationstyp","Typ av ordination. Anges enbart på ordinationer till dospatient. B = Helförpackning vid behov S = Helförpackning stående D = Dispenserad ordination","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.ordinationstyp",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.radnummerNEF","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.radnummerNEF","","","",0,1,"","","","string {[]} {[]}
","radnummerNEF","Unikt id för en rad i en receptsamling som skickas in via NEF. Radnumret är en kombination av rad inom receptsamlingen och eventuellt flerval. Id:t sätts av vårdsystemet. Radnummer utan flerval: 1,2,...n Radnummer med flerval: 1-1, 1-2, 1-n","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.radnummerNEF",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag","","","",0,1,"","","","BackboneElement {[]} {[]}
","senasteHelforpackningsuttag","senasteHelforpackningsuttag","","","","","","","","","",,,,,"",,,,"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag.id","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag.extension","hamtaaktuellaordinationer.ordinationslista.helforpackningsordinationLista.senasteHelforpackningsuttag.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
